1;2.473890;8.647148;129.744509
2;2.026900;7.497974;93.468798
3;1.647029;6.521080;67.269354
4;1.324280;5.691052;48.355545
5;1.050044;4.985956;34.702560
6;0.817028;4.386756;24.844718
7;0.619046;3.877668;17.728253
8;0.450833;3.445106;12.590572
9;0.307901;3.077564;8.881317
10;0.186455;2.765260;6.203348
11;0.083266;2.499902;4.269983
12;-0.004413;2.274433;2.874186
13;-0.078912;2.082855;1.866478
14;-0.142212;1.920077;1.138964
15;-0.195996;1.781768;0.613739
16;-0.241695;1.664252;0.234553
17;-0.280525;1.564400;-0.039201
18;-0.313518;1.479558;-0.236839
19;-0.341551;1.407470;-0.379524
20;-0.365370;1.346218;-0.482535
21;-0.385609;1.294173;-0.556904
22;-0.402805;1.249952;-0.610595
23;-0.417416;1.212379;-0.649357
24;-0.429831;1.180454;-0.677341
25;-0.440380;1.153327;-0.697544
26;-0.449343;1.130279;-0.712130
27;-0.456959;1.110695;-0.722660
28;-0.463429;1.094055;-0.730262
29;-0.468928;1.079916;-0.735750
30;-0.473599;1.067903;-0.739713
31;-0.477569;1.057696;-0.742573
32;-0.480941;1.049023;-0.744638
33;-0.483807;1.041654;-0.746129
34;-0.486242;1.035392;-0.747206
35;-0.488311;1.030072;-0.747983
36;-0.490069;1.025551;-0.748544
37;-0.491562;1.021710;-0.748949
38;-0.492831;1.018447;-0.749241
39;-0.493910;1.015674;-0.749452
40;-0.494826;1.013318;-0.749605
41;-0.495605;1.011316;-0.749715
42;-0.496266;1.009615;-0.749794
43;-0.496828;1.008169;-0.749851
44;-0.497306;1.006941;-0.749893
45;-0.497711;1.005898;-0.749923
46;-0.498056;1.005011;-0.749944
47;-0.498349;1.004258;-0.749960
48;-0.498598;1.003618;-0.749971
49;-0.498810;1.003074;-0.749979
50;-0.498989;1.002612;-0.749985
51;-0.499142;1.002219;-0.749989
52;-0.499272;1.001886;-0.749992
53;-0.499382;1.001602;-0.749994
54;-0.499476;1.001361;-0.749996
55;-0.499555;1.001157;-0.749997
56;-0.499623;1.000983;-0.749998
57;-0.499680;1.000835;-0.749998
58;-0.499729;1.000710;-0.749999
59;-0.499771;1.000603;-0.749999
60;-0.499806;1.000512;-0.749999
61;-0.499836;1.000435;-0.750000
62;-0.499861;1.000370;-0.750000
63;-0.499883;1.000314;-0.750000
64;-0.499901;1.000267;-0.750000
65;-0.499917;1.000227;-0.750000
66;-0.499930;1.000193;-0.750000
67;-0.499941;1.000164;-0.750000
68;-0.499951;1.000139;-0.750000
69;-0.499959;1.000118;-0.750000
70;-0.499966;1.000100;-0.750000
71;-0.499972;1.000085;-0.750000
72;-0.499977;1.000073;-0.750000
73;-0.499981;1.000062;-0.750000
74;-0.499985;1.000052;-0.750000
75;-0.499988;1.000044;-0.750000
76;-0.499990;1.000038;-0.750000
77;-0.499993;1.000032;-0.750000
78;-0.499994;1.000027;-0.750000
79;-0.499996;1.000023;-0.750000
80;-0.499997;1.000020;-0.750000
81;-0.499998;1.000017;-0.750000
82;-0.499999;1.000014;-0.750000
83;-0.500000;1.000012;-0.750000
84;-0.500001;1.000010;-0.750000
85;-0.500002;1.000009;-0.750000
86;-0.500002;1.000007;-0.750000
87;-0.500003;1.000006;-0.750000
88;-0.500003;1.000005;-0.750000
89;-0.500003;1.000005;-0.750000
90;-0.500003;1.000004;-0.750000
91;-0.500004;1.000003;-0.750000
92;-0.500004;1.000003;-0.750000
93;-0.500004;1.000002;-0.750000
94;-0.500004;1.000002;-0.750000
95;-0.500004;1.000002;-0.750000
96;-0.500004;1.000001;-0.750000
97;-0.500005;1.000001;-0.750000
98;-0.500005;1.000001;-0.750000
99;-0.500005;1.000001;-0.750000
100;-0.500005;1.000001;-0.750000
